City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
213,Qaqortoq,GL,2021-05-26 01:13:15,60.7167,-46.0333,36.1,68,23,7.05
214,Rocha,UY,2021-05-26 01:12:26,-34.4833,-54.3333,45.52,75,3,5.41
215,Oktyabrskiy,RU,2021-05-26 01:13:16,54.4815,53.471,52.03,90,82,8.43
216,Montemorelos,MX,2021-05-26 01:13:16,25.2,-99.8167,72.34,76,100,20.27
217,Alta Floresta,BR,2021-05-26 01:13:16,-9.8756,-56.0861,73.78,75,100,2.33
218,Kindu,CD,2021-05-26 01:13:17,-2.95,25.95,70.63,75,100,2.15
219,Meulaboh,ID,2021-05-26 01:13:17,4.1363,96.1285,80.2,78,96,4.41
220,Seymchan,RU,2021-05-26 01:13:17,62.8833,152.4333,45.95,63,100,13.24
221,Wajima,JP,2021-05-26 01:13:18,37.4,136.9,61.07,66,62,13.33
222,Pindi Gheb,PK,2021-05-26 01:13:18,33.2402,72.2661,80.49,26,0,6.06
223,Smithers,CA,2021-05-26 01:13:18,54.7804,-127.1743,59.97,35,72,9.15
224,Klaksvik,FO,2021-05-26 01:13:19,62.2266,-6.589,47.32,90,81,17.34
225,Birjand,IR,2021-05-26 01:13:19,32.8663,59.2211,70.79,20,9,7.31
226,Ust-Nera,RU,2021-05-26 01:13:19,64.5667,143.2,52.74,35,9,6.78
227,Honiara,SB,2021-05-26 01:09:22,-9.4333,159.95,83.89,70,100,3.0
228,Cockburn Town,TC,2021-05-26 01:10:53,21.4612,-71.1419,79.12,79,3,19.89
229,Empalme,MX,2021-05-26 01:13:21,27.9667,-110.8167,94.35,22,1,7.65
230,Abnub,EG,2021-05-26 01:13:21,27.2696,31.1511,77.86,27,0,6.69
231,Dapaong,TG,2021-05-26 01:13:21,10.8639,0.205,86.02,54,25,7.29
232,Sterling,US,2021-05-26 01:13:22,39.0062,-77.4286,75.87,80,75,1.99
233,Diffa,NE,2021-05-26 01:13:13,13.3154,12.6113,87.75,9,7,6.33
234,Tuatapere,NZ,2021-05-26 01:13:22,-46.1333,167.6833,49.82,52,90,2.3
235,Nha Trang,VN,2021-05-26 01:09:53,12.25,109.1833,80.6,65,69,2.48
236,Acarau,BR,2021-05-26 01:13:23,-2.8856,-40.12,77.74,80,61,11.39
237,Merritt Island,US,2021-05-26 01:08:56,28.5392,-80.672,80.69,75,1,4.61
238,Alice Springs,AU,2021-05-26 01:09:33,-23.7,133.8833,56.75,38,0,18.37
239,Anzio,IT,2021-05-26 01:13:22,41.4853,12.6179,60.87,96,11,5.86
240,Port Shepstone,ZA,2021-05-26 01:13:23,-30.7414,30.455,66.36,42,100,5.44
241,Emerald,AU,2021-05-26 01:11:06,-23.5333,148.1667,74.34,52,0,7.67
242,Itoman,JP,2021-05-26 01:13:24,26.1247,127.6694,86.4,79,40,9.22
243,Aksu,CN,2021-05-26 01:13:24,41.1231,80.2644,73.18,15,100,1.57
244,Chiredzi,ZW,2021-05-26 01:13:24,-21.05,31.6667,54.82,60,0,2.95
245,Orocue,CO,2021-05-26 01:13:25,4.7912,-71.3354,73.09,96,100,5.06
246,Dahra,DZ,2021-05-26 01:13:25,36.2546,0.8519,62.04,74,100,3.85
247,Poso,ID,2021-05-26 01:13:25,-1.3959,120.7524,78.84,85,100,4.18
248,Dunedin,NZ,2021-05-26 01:13:26,-45.8742,170.5036,51.8,52,100,5.99
249,Souillac,MU,2021-05-26 01:12:12,-20.5167,57.5167,70.36,82,7,8.57
250,Esperance,AU,2021-05-26 01:13:26,-33.8667,121.9,57.04,72,11,9.89
251,Mombetsu,JP,2021-05-26 01:13:26,44.3525,143.3525,55.76,63,13,12.88
252,Broome,US,2021-05-26 01:13:27,42.2506,-75.833,72.7,78,75,5.99
